Convalesce  v. (-cing) recover health after illness. [latin valeo be well]
Mnemonic  -adj. Of or designed to aid the memory. -n. Mnemonic word, verse, etc. mnemonically adv. [greek mnemon mindful]
Pr  abbr. 1 public relations. 2 proportional representation.
Apex  n. (pl. -es) 1 highest point. 2 tip or pointed end. [latin]
Om  abbr. Order of merit.
Outrun  v. (-nn-; past -ran; past part. -run) 1 run faster or farther than. 2 go beyond (a point or limit).
Back-to-nature  attrib. Adj. Seeking a simpler way of life.
Eyepiece  n. Lens or lenses to which the eye is applied at the end of an optical instrument.
Conflagration  n. Great and destructive fire. [latin: related to *flagrant]
Gallantry  n. (pl. -ies) 1 bravery. 2 devotion to women. 3 polite act or speech.
Ammunition  n. 1 supply of bullets, shells, grenades, etc. 2 information usable in an argument. [french la *munition taken as l'ammu-]
Nasturtium  n. Trailing plant with edible leaves and bright orange, yellow, or red flowers. [latin]
Lap2  -n. 1 a one circuit of a racetrack etc. B section of a journey etc. 2 a amount of overlapping. B overlapping part. 3 single turn of thread etc. Round a reel etc. -v. (-pp-) 1 lead or overtake (a competitor in a race) by one or more laps. 2 (often foll. By about, round) fold or wrap (a garment etc.) Round. 3 (usu. Foll. By in) enfold in wraps etc. 4 (as lapped adj.) (usu. Foll. By in) enfolded caressingly. 5 cause to overlap. [probably from *lap1]
Forecast  -v. (past and past part. -cast or -casted) predict; estimate beforehand. -n. Prediction, esp. Of weather.  forecaster n.
Hatband  n. Band of ribbon etc. Round a hat above the brim.
Pedestrian crossing  n. Part of a road where crossing pedestrians have right of way.
Herculean  adj. Having or requiring great strength or effort. [from the name hercules, latin alteration of greek herakles]
Cooperative  (also co-operative) -adj. 1 willing to cooperate. 2 of or characterized by cooperation. 3 (of a business) owned and run jointly by its members, with profits shared. -n. Cooperative farm, society, or business.
Cuisine  n. Style or method of cooking. [french]
Juridical  n. 1 of judicial proceedings. 2 relating to the law. [latin jus jur- law, dico say]
Boogie  v. (-ies, -ied, -ieing) slang dance to pop music.
Aesthetic  -adj. 1 of or sensitive to beauty. 2 artistic, tasteful. -n. (in pl.) Philosophy of beauty, esp. In art.  aesthetically adv. Aestheticism n.
Bore1  -v. (-ring) 1 make (a hole), esp. With a revolving tool. 2 make a hole in, hollow out. -n. 1 hollow of a firearm barrel or of a cylinder in an internal-combustion engine. 2 diameter of this. 3 deep hole made esp. To find water. [old english]
Ar  symb. Argon.
Fig.  Abbr. Figure.
Appetizer  n. (also -iser) small amount, esp. Of food or drink, to stimulate the appetite.
Gi  n. (often attrib.) Soldier in the us army. [abbreviation of government (or general) issue]
Dinar  n. Chief monetary unit of yugoslavia and several countries of the middle east and n. Africa. [arabic and persian from latin *denarius]
Futile  adj. 1 useless, ineffectual. 2 frivolous.  futility n. [latin futilis leaky, futile]
Admit  v. (-tt-) 1 (often foll. By to be, or that + clause) acknowledge; recognize as true. 2 (foll. By to) confess to (a deed, fault, etc.). 3 allow (a person) entrance, access, etc. 4 take (a patient) into hospital. 5 (of an enclosed space) accommodate. 6 (foll. By of) allow as possible. [latin mitto miss- send]
Investment trust  n. Trust that buys and sells shares in selected companies to make a profit for its members.
Inception  n. Beginning. [latin incipio -cept- begin]
Curse  -n. 1 solemn invocation of divine wrath on a person or thing. 2 supposed resulting evil. 3 violent or profane exclamation or oath. 4 thing causing evil or harm. 5 (prec. By the) colloq.
Golf club  n. 1 club used in golf. 2 association for playing golf. 3 premises of this.
Horn of plenty  n. A cornucopia.
Embolism  n. Obstruction of an artery by a clot, air-bubble, etc. [latin from greek]
Nod  -v. (-dd-) 1 incline one's head slightly and briefly in assent, greeting, or command. 2 let one's head fall forward in drowsiness; be drowsy. 3 incline (one's head). 4 signify (assent etc.) By a nod. 5 (of flowers, plumes, etc.) Bend downwards and sway. 6 make a mistake due to a momentary lack of alertness or attention. -n. Nodding of the head.  nod off colloq. Fall asleep. [origin unknown]
Bronchitis  n. Inflammation of the mucous membrane in the bronchial tubes.
Douse  v. (also dowse) (-sing) 1 a throw water over. B plunge into water. 2 extinguish (a light). [origin uncertain]
Fuehrer  var. Of *führer.
Poleax  (brit. -axe) -n. 1 hist. = *battleaxe 1. 2 butcher's axe. -v. (-xing) 1 hit or kill with a poleaxe. 2 (esp. As poleaxed adj.) Colloq. Dumbfound, overwhelm. [low german or dutch: related to *poll, *axe]
Gorgon  n. 1 (in greek mythology) each of three snake-haired sisters (esp. Medusa) with the power to turn anyone who looked at them to stone. 2 frightening or repulsive woman. [greek gorgos terrible]
German shepherd  n. (also german shepherd dog) = *alsatian.
Air  -n. 1 mixture mainly of oxygen and nitrogen surrounding the earth. 2 earth's atmosphere; open space in it; this as a place for flying aircraft. 3 a distinctive impression or manner (air of mystery). B (esp. In pl.) Pretentiousness (gave himself airs). 4 tune. 5 light wind. -v. 1 expose (clothes, a room, etc.) To fresh air or warmth to remove damp. 2 express and discuss publicly (an opinion, question, grievance, etc.).  by air by or in an aircraft. In the air 1 (of opinions etc.) Prevalent. 2 (of plans etc.) Uncertain. On (or off) the air being (or not being) broadcast. [greek aer]
Foolhardy  adj. (-ier, -iest) rashly or foolishly bold; reckless.  foolhardily adv. Foolhardiness n.
Dismay  -n. Intense disappointment or despair. -v. Fill with dismay. [french from germanic: related to *dis-, *may]
Hammer and sickle  n. Symbols of the industrial worker and peasant used as an emblem of the former ussr and international communism.
Lettered  adj. Well-read or educated.
Receipt  -n. 1 receiving or being received. 2 written acknowledgement of payment received. 3 (usu. In pl.) Amount of money etc. Received. 4 archaic recipe. -v. Place a written or printed receipt on (a bill).  in receipt of having received. [anglo-french receite: related to *receive]
Interject  v. 1 utter (words) abruptly or parenthetically. 2 interrupt. [latin jacio throw]
Disciplinarian  n. Enforcer of or believer in firm discipline.
Far and away  adv. By a very large amount.
Propagator  n. 1 person or thing that propagates. 2 small heated box for germinating seeds or raising seedlings.
Decree absolute  n. Final order for completion of a divorce.
Curly  adj. (-ier, -iest) 1 having or arranged in curls. 2 moving in curves.  curliness n.
Grovel  v. (-ll-; us -l-) 1 behave obsequiously. 2 lie prone in abject humility.  grovelling adj. [obsolete grovelling (adv.) From old norse á grúfu face down]
Free spirit  n. Independent or uninhibited person.
Grout  -n. Thin fluid mortar. -v. Provide or fill with grout. [origin uncertain]
Gudgeon1  n. Small freshwater fish often used as bait. [french goujon from latin gobio *goby]
Advanced level  n. High level of gce examination.
House of commons  n. Elected chamber of parliament.
Constrictor  n. 1 snake that kills by compressing. 2 muscle that contracts an organ or part of the body.
Duration  n. 1 time taken by an event. 2 specified length of time (duration of a minute).  for the duration 1 until the end of an event. 2 for a very long time. [medieval latin: related to *durable]
